Title	Abbreviation	ISSN	EISSN	Bibliography	Citation
Radiation and Environmental Biophysics	Radiat Environ Biophys	0301-634X	1432-2099	Basic	NameYear
Real-Time Systems	Real-Time Syst	0922-6443	1573-1383	Basic	NameYear
Regional Environmental Change	Reg Environ Change	1436-3798	1436-378X	Basic	NameYear
Rendiconti Lincei	Rend. Fis. Acc. Lincei	2037-4631	1720-0776	Basic	NameYear
Research in Engineering Design	Res Eng Design	0934-9839	1435-6066	Basic	NameYear
Review of Economic Design	Rev Econ Design	1434-4742	1434-4750	Basic	NameYear
Review of Managerial Science	Rev Manag Sci	1863-6683	1863-6691	Basic	NameYear
Review of Quantitative Finance and Accounting	Rev Quant Finan Acc	0924-865X	1573-7179	Basic	NameYear
Reviews in Environmental Science and Bio/Technology	Rev Environ Sci Biotechnol	1569-1705	1572-9826	Basic	NameYear
Reviews in Fish Biology and Fisheries	Rev Fish Biol Fisheries	0960-3166	1573-5184	Basic	NameYear
Rheologica Acta	Rheol Acta	0035-4511	1435-1528	Basic	NameYear
Rock Mechanics and Rock Engineering	Rock Mech Rock Eng	0723-2632	1434-453X	Basic	NameYear
SERIEs	SERIEs	1869-4187	1869-4195	Basic	NameYear
Service Business	Serv Bus	1862-8516	1862-8508	Basic	NameYear
Small-scale Forestry	Small-scale Forestry	1873-7617	1873-7854	Basic	NameYear
Social Choice and Welfare	Soc Choice Welf	0176-1714	1432-217X	Basic	NameYear
Social Network Analysis and Mining	Soc. Netw. Anal. Min.	1869-5450	1869-5469	Basic	NameYear
Soft Computing	Soft Comput	1432-7643	1433-7479	Basic	NameYear
Standort	Standort	0174-3635	1432-220X	Basic	NameYear
Statistical Inference for Stochastic Processes	Stat Inference Stoch Process	1387-0874	1572-9311	Basic	NameYear
Statistical Methods & Applications	Stat Methods Appl	1618-2510	1613-981X	Basic	NameYear
Statistical Papers	Stat Papers	0932-5026	1613-9798	Basic	NameYear
Stochastic Environmental Research and Risk Assessment	Stoch Environ Res Risk Assess	1436-3240	1436-3259	Basic	NameYear
Structural and Multidisciplinary Optimization	Struct Multidisc Optim	1615-147X	1615-1488	Basic	NameYear
Surveys in Geophysics	Surv Geophys	0169-3298	1573-0956	Basic	NameYear
Sustainability Science	Sustain Sci	1862-4065	1862-4057	Basic	NameYear
Symbiosis	Symbiosis	0334-5114	1878-7665	Basic	NameYear
Systemic Practice and Action Research	Syst Pract Action Res	1094-429X	1573-9295	Basic	NameYear
Systems and Synthetic Biology	Syst Synth Biol	1872-5325	1872-5333	Basic	NameYear
TEST	TEST	1133-0686	1863-8260	Basic	NameYear
The Annals of Regional Science	Ann Reg Sci	0570-1864	1432-0592	Basic	NameYear
The Astronomy and Astrophysics Review	Astron Astrophys Rev	0935-4956	1432-0754	Basic	NameYear
The International Journal of Life Cycle Assessment	Int J Life Cycle Assess	0948-3349	1614-7502	Basic	NameYear
Theoretical and Applied Climatology	Theor Appl Climatol	0177-798X	1434-4483	Basic	NameYear
Theoretical and Applied Genetics	Theor Appl Genet	0040-5752	1432-2242	Basic	NameYear
Theoretical Ecology	Theor Ecol	1874-1738	1874-1746	Basic	NameYear
Theory in Biosciences	Theory Biosci.	1431-7613	1611-7530	Basic	NameYear
TOP	TOP	1134-5764	1863-8279	Basic	NameYear
Topoi	Topoi	0167-7411	1572-8749	Basic	NameYear
Transgenic Research	Transgenic Res	0962-8819	1573-9368	Basic	NameYear
Transition Studies Review	Transit Stud Rev	1614-4007	1614-4015	Basic	NameYear
Tree Genetics & Genomes	Tree Genetics & Genomes	1614-2942	1614-2950	Basic	NameYear
Trees	Trees	0931-1890	1432-2285	Basic	NameYear
Trends in Organized Crime	Trends Organ Crim	1084-4791	1936-4830	Basic	NameYear
Tropical Plant Biology	Tropical Plant Biol. 	1935-9756	1935-9764	Basic	NameYear
Urban Ecosystems	Urban Ecosyst	1083-8155	1573-1642	Basic	NameYear
uwf UmweltWirtschaftsForum	uwf	0943-3481	1432-2293	Basic	NameYear
Vegetation History and Archaeobotany	Veget Hist Archaeobot	0939-6314	1617-6278	Basic	NameYear
Veterinary Research Communications	Vet Res Commun	0165-7380	1573-7446	Basic	NameYear
Virtual Reality	Virtual Reality	1359-4338	1434-9957	Basic	NameYear
Water History	Water Hist	1877-7236	1877-7244	Basic	NameYear
Water Quality, Exposure and Health	Water Qual Expo Health	1876-1658	1876-1666	Basic	NameYear
Water Resources Management	Water Resour Manage	0920-4741	1573-1650	Basic	NameYear
Wetlands	Wetlands	0277-5212	1943-6246	Basic	NameYear
Wetlands Ecology and Management	Wetlands Ecol Manage	0923-4861	1572-9834	Basic	NameYear
WIRTSCHAFTSINFORMATIK	Wirtschaftsinf	0937-6429	1861-8936	Basic	NameYear
WMU Journal of Maritime Affairs	WMU J Marit Affairs	1651-436X	1654-1642	Basic	NameYear
Wood Science and Technology	Wood Sci Technol	0043-7719	1432-5225	Basic	NameYear
World Journal of Microbiology and Biotechnology	World J Microbiol Biotechnol	0959-3993	1573-0972	Basic	NameYear
Zeitschrift für Energiewirtschaft	Z Energiewirtsch	0343-5377	1866-2765	Basic	NameYear
Zoomorphology	Zoomorphology	0720-213X	1432-234X	Basic	NameYear
Accreditation and Quality Assurance	Accred Qual Assur	0949-1775	1432-0517	Basic	Numbered
Acta Diabetologica	Acta Diabetol	0940-5429	1432-5233	Basic	Numbered
Acta Geotechnica	Acta Geotech.	1861-1125	1861-1133	Basic	Numbered
Acta Neurochirurgica	Acta Neurochir	0001-6268	0942-0940	Basic	Numbered
Acta Neurologica Belgica	Acta Neurol Belg	0300-9009	2240-2993	Basic	Numbered
Acta Neuropathologica	Acta Neuropathol	0001-6322	1432-0533	Basic	Numbered
Advances in Manufacturing	Adv. Manuf.	2095-3127	2195-3597	Basic	Numbered
Aesthetic Plastic Surgery	Aesth Plast Surg	0364-216X	1432-5241	Basic	Numbered
Agricultural Research	Agric Res	2249-720X	2249-7218	Basic	Numbered
Analytical and Bioanalytical Chemistry	Anal Bioanal Chem	1618-2642	1618-2650	Basic	Numbered
Angiogenesis	Angiogenesis	0969-6970	1573-7209	Basic	Numbered
Annals of Hematology	Ann Hematol	0939-5555	1432-0584	Basic	Numbered
Annals of Solid and Structural Mechanics	Ann. Solid Struct. Mech.	1867-6936	1867-6944	Basic	Numbered
annals of telecommunications - annales des télécommunications	Ann. Telecommun.	0003-4347	1958-9395	Basic	Numbered
Apoptosis	Apoptosis	1360-8185	1573-675X	Basic	Numbered
Applied Intelligence	Appl Intell	0924-669X	1573-7497	Basic	Numbered
Applied Petrochemical Research	Appl Petrochem Res	2190-5525	2190-5533	Basic	Numbered
Archives of Computational Methods in Engineering	Arch Computat Methods Eng	1134-3060	1886-1784	Basic	Numbered
Archives of Dermatological Research	Arch Dermatol Res	0340-3696	1432-069X	Basic	Numbered
Archives of Gynecology and Obstetrics	Arch Gynecol Obstet	0932-0067	1432-0711	Basic	Numbered
Archives of Orthopaedic and Trauma Surgery	Arch Orthop Trauma Surg	0936-8051	1434-3916	Basic	Numbered
Archives of Osteoporosis	Arch Osteoporos	1862-3522	1862-3514	Basic	Numbered
Archives of Virology	Arch Virol	0304-8608	1432-8798	Basic	Numbered
Artificial Life and Robotics	Artif Life Robotics	1433-5298	1614-7456	Basic	Numbered
Australasian Physical & Engineering Sciences in Medicine	Australas Phys Eng Sci Med	0158-9938	1879-5447	Basic	Numbered
Autoimmunity Highlights	Autoimmun Highlights	2038-0305	2038-3274	Basic	Numbered
Basic Research in Cardiology	Basic Res Cardiol	0300-8428	1435-1803	Basic	Numbered
BioEnergy Research	Bioenerg. Res.	1939-1234	1939-1242	Basic	Numbered
Biological Trace Element Research	Biol Trace Elem Res	0163-4984	1559-0720	Basic	Numbered
Biomass Conversion and Biorefinery	Biomass Conv. Bioref.	2190-6815	2190-6823	Basic	Numbered
Bioprocess and Biosystems Engineering	Bioprocess Biosyst Eng	1615-7591	1615-7605	Basic	Numbered
Brain Tumor Pathology	Brain Tumor Pathol	1433-7398	1861-387X	Basic	Numbered
Breast Cancer Research and Treatment	Breast Cancer Res Treat	0167-6806	1573-7217	Basic	Numbered
Calcified Tissue International	Calcif Tissue Int	0171-967X	1432-0827	Basic	Numbered
Canadian Journal of Anesthesia/Journal canadien d'anesthésie	Can J Anesth/J Can Anesth	0832-610X	1496-8975	Basic	Numbered
Cancer Causes & Control	Cancer Causes Control	0957-5243	1573-7225	Basic	Numbered
Cancer Chemotherapy and Pharmacology	Cancer Chemother Pharmacol	0344-5704	1432-0843	Basic	Numbered
Cancer Immunology, Immunotherapy	Cancer Immunol Immunother	0340-7004	1432-0851	Basic	Numbered
Cancer Microenvironment	Cancer Microenvironment 	1875-2292	1875-2284	Basic	Numbered
CardioVascular and Interventional Radiology	Cardiovasc Intervent Radiol	0174-1551	1432-086X	Basic	Numbered
Catalysis Letters	Catal Lett	1011-372X	1572-879X	Basic	Numbered
Catalysis Surveys from Asia	Catal Surv Asia	1571-1013	1574-9266	Basic	Numbered
Cellular and Molecular Life Sciences	Cell. Mol. Life Sci.	1420-682X	1420-9071	Basic	Numbered
Child Psychiatry & Human Development	Child Psychiatry Hum Dev	0009-398X	1573-3327	Basic	Numbered
Child's Nervous System	Childs Nerv Syst	0256-7040	1433-0350	Basic	Numbered
Chromatographia	Chromatographia	0009-5893	1612-1112	Basic	Numbered
Clinical & Experimental Metastasis	Clin Exp Metastasis	0262-0898	1573-7276	Basic	Numbered
Clinical and Experimental Medicine	Clin Exp Med	1591-8890	1591-9528	Basic	Numbered
Clinical and Translational Oncology	Clin Transl Oncol	1699-048X	1699-3055	Basic	Numbered
Clinical Autonomic Research	Clin Auton Res	0959-9851	1619-1560	Basic	Numbered
Clinical Oral Investigations	Clin Oral Invest	1432-6981	1436-3771	Basic	Numbered
Clinical Research in Cardiology	Clin Res Cardiol	1861-0684	1861-0692	Basic	Numbered
Clinical Research in Cardiology Supplements	Clin Res Cardiol Suppl	1861-0706	1861-0714	Basic	Numbered
Clinical Reviews in Allergy & Immunology	Clinic Rev Allerg Immunol	1080-0549	1559-0267	Basic	Numbered
Clinical Rheumatology	Clin Rheumatol	0770-3198	1434-9949	Basic	Numbered
Colloid and Polymer Science	Colloid Polym Sci	0303-402X	1435-1536	Basic	Numbered
Computational Mechanics	Comput Mech	0178-7675	1432-0924	Basic	Numbered
Computer Science - Research and Development	Comput Sci Res Dev	1865-2034	1865-2042	Basic	Numbered
Computing	Computing	0010-485X	1436-5057	Basic	Numbered
CSI Transactions on ICT	CSIT	2277-9078	2277-9086	Basic	Numbered
Current Microbiology	Curr Microbiol	0343-8651	1432-0991	Basic	Numbered
Current Pathobiology Reports	Curr Pathobiol Rep		2167-485X	Basic	Numbered
Datenbank-Spektrum	Datenbank Spektrum 	1618-2162	1610-1995	Basic	Numbered
Design Automation for Embedded Systems	Des Autom Embed Syst	0929-5585	1572-8080	Basic	Numbered
Diabetologia	Diabetologia	0012-186X	1432-0428	Basic	Numbered
Documenta Ophthalmologica	Doc Ophthalmol	0012-4486	1573-2622	Basic	Numbered
Dynamic Games and Applications	Dyn Games Appl	2153-0785	2153-0793	Basic	Numbered
Electrical Engineering	Electr Eng	0948-7921	1432-0487	Basic	Numbered
Electrocatalysis	Electrocatalysis	1868-2529	1868-5994	Basic	Numbered
Emergency Radiology	Emerg Radiol	1070-3004	1438-1435	Basic	Numbered
Engineering with Computers	Engineering with Computers	0177-0667	1435-5663	Basic	Numbered
Environmental Fluid Mechanics	Environ Fluid Mech	1567-7419	1573-1510	Basic	Numbered
Ethik in der Medizin	Ethik Med	0935-7335	1437-1618	Basic	Numbered
European Actuarial Journal	Eur. Actuar. J. 	2190-9733	2190-9741	Basic	Numbered
European Archives of Oto-Rhino-Laryngology	Eur Arch Otorhinolaryngol	0937-4477	1434-4726	Basic	Numbered
European Archives of Psychiatry and Clinical Neuroscience	Eur Arch Psychiatry Clin Neurosci	0940-1334	1433-8491	Basic	Numbered
European Child & Adolescent Psychiatry	Eur Child Adolesc Psychiatry	1018-8827	1435-165X	Basic	Numbered
European Food Research and Technology	Eur Food Res Technol	1438-2377	1438-2385	Basic	Numbered
European Journal of Clinical Microbiology & Infectious Diseases	Eur J Clin Microbiol Infect Dis	0934-9723	1435-4373	Basic	Numbered
European Journal of Clinical Pharmacology	Eur J Clin Pharmacol	0031-6970	1432-1041	Basic	Numbered
European Journal of Futures Research	Eur J Futures Res	2195-4194	2195-2248	Basic	Numbered
European Journal of Nutrition	Eur J Nutr	1436-6207	1436-6215	Basic	Numbered
European Journal of Orthopaedic Surgery & Traumatology	Eur J Orthop Surg Traumatol	1633-8065	1432-1068	Basic	Numbered
European Journal of Pediatrics	Eur J Pediatr	0340-6199	1432-1076	Basic	Numbered
European Journal of Plastic Surgery	Eur J Plast Surg	0930-343X	1435-0130	Basic	Numbered
European Orthopaedics and Traumatology	Eur Orthop Traumatol	1867-4569	1867-4577	Basic	Numbered
European Radiology	Eur Radiol	0938-7994	1432-1084	Basic	Numbered
European Review of Aging and Physical Activity	Eur Rev Aging Phys Act	1813-7253	1861-6909	Basic	Numbered
European Spine Journal	Eur Spine J	0940-6719	1432-0932	Basic	Numbered
European Transport Research Review	Eur. Transp. Res. Rev.	1867-0717	1866-8887	Basic	Numbered
Evolutionary Intelligence	Evol. Intel.	1864-5909	1864-5917	Basic	Numbered
Experimental Mechanics	Exp Mech 	0014-4851	1741-2765	Basic	Numbered
Familial Cancer	Familial Cancer	1389-9600	1573-7292	Basic	Numbered
Fire Technology	Fire Technol	0015-2684	1572-8099	Basic	Numbered
Fisheries Science	Fish Sci	0919-9268	1444-2906	Basic	Numbered
Food Digestion	Food Dig.	1869-1978	1869-1986	Basic	Numbered
Food Engineering Reviews	Food Eng Rev	1866-7910	1866-7929	Basic	Numbered
Forensic Toxicology	Forensic Toxicol	1860-8965	1860-8973	Basic	Numbered
Forensische Psychiatrie, Psychologie, Kriminologie	Forens Psychiatr Psychol Kriminol	1862-7072	1862-7080	Basic	Numbered
Formal Methods in System Design	Form Methods Syst Des	0925-9856	1572-8102	Basic	Numbered
Forschung im Ingenieurwesen	Forsch Ingenieurwes	0015-7899	1434-0860	Basic	Numbered
GeoInformatica	Geoinformatica	1384-6175	1573-7624	Basic	Numbered
Gold Bulletin	Gold Bull		2190-7579	Basic	Numbered
Graefe's Archive for Clinical and Experimental Ophthalmology	Graefes Arch Clin Exp Ophthalmol	0721-832X	1435-702X	Basic	Numbered
Gynecological Surgery	Gynecol Surg	1613-2076	1613-2084	Basic	Numbered
Health Care Management Science	Health Care Manag Sci	1386-9620	1572-9389	Basic	Numbered
Heart and Vessels	Heart Vessels	0910-8327	1615-2573	Basic	Numbered
Heart Failure Reviews	Heart Fail Rev	1382-4147	1573-7322	Basic	Numbered
Heat and Mass Transfer	Heat Mass Transfer	0947-7411	1432-1181	Basic	Numbered
Hernia	Hernia	1265-4906	1248-9204	Basic	Numbered
Herzschrittmachertherapie + Elektrophysiologie	Herzschr Elektrophys	0938-7412	1435-1544	Basic	Numbered
Hormones and Cancer	HORM CANC	1868-8497	1868-8500	Basic	Numbered
Indian Geotechnical Journal	Indian Geotech J	0971-9555	2277-3347	Basic	Numbered
Indian Journal of Hematology and Blood Transfusion	Indian J Hematol Blood Transfus	0971-4502	0974-0449	Basic	Numbered
Indian Journal of Microbiology	Indian J Microbiol	0046-8991	0973-7715	Basic	Numbered
Indian Journal of Otolaryngology and Head & Neck Surgery	Indian J Otolaryngol Head Neck Surg	2231-3796	0973-7707	Basic	Numbered
Indian Journal of Surgery	Indian J Surg	0972-2068	0973-9793	Basic	Numbered
Indian Journal of Surgical Oncology	Indian J Surg Oncol	0975-7651	0976-6952	Basic	Numbered
Informatik-Spektrum	Informatik Spektrum	0170-6012	1432-122X	Basic	Numbered
Information Technology and Management	Inf Technol Manag	1385-951X	1573-7667	Basic	Numbered
Innovations in Systems and Software Engineering	Innovations Syst Softw Eng	1614-5046	1614-5054	Basic	Numbered
Insights into Imaging	Insights Imaging		1869-4101	Basic	Numbered
Intelligent Service Robotics	Intel Serv Robotics	1861-2776	1861-2784	Basic	Numbered
Intensive Care Medicine	Intensive Care Med	0342-4642	1432-1238	Basic	Numbered
Internal and Emergency Medicine	Intern Emerg Med	1828-0447	1970-9366	Basic	Numbered
International Cancer Conference Journal	Int Canc Conf J		2192-3183	Basic	Numbered
International Journal for Ion Mobility Spectrometry	Int. J. Ion Mobil. Spec.	1435-6163	1865-4584	Basic	Numbered
International Journal of Clinical Oncology	Int J Clin Oncol	1341-9625	1437-7772	Basic	Numbered
International Journal of Colorectal Disease	Int J Colorectal Dis	0179-1958	1432-1262	Basic	Numbered
International Journal of Computer Assisted Radiology and Surgery	Int J CARS	1861-6410	1861-6429	Basic	Numbered
International Journal of Dynamics and Control	Int. J. Dynam. Control	2195-268X	2095-2698	Basic	Numbered
International Journal of Legal Medicine	Int J Legal Med	0937-9827	1437-1596	Basic	Numbered
International Journal of Machine Learning and Cybernetics	Int. J. Mach. Learn. & Cyber.	1868-8071	1868-808X	Basic	Numbered
International Journal of Material Forming	Int J Mater Form	1960-6206	1960-6214	Basic	Numbered
International Journal of Multimedia Information Retrieval	Int J Multimed Info Retr	2192-6611	2192-662X	Basic	Numbered
International Journal of Plastics Technology	Int J Plast Technol	0972-656X	0975-072X	Basic	Numbered
International Journal of Social Robotics	Int J of Soc Robotics	1875-4791	1875-4805	Basic	Numbered
International Ophthalmology	Int Ophthalmol	0165-5701	1573-2630	Basic	Numbered
International Orthopaedics	International Orthopaedics (SICOT)	0341-2695	1432-5195	Basic	Numbered
International Urogynecology Journal	Int Urogynecol J	0937-3462	1433-3023	Basic	Numbered
International Urology and Nephrology	Int Urol Nephrol	0301-1623	1573-2584	Basic	Numbered
Investigational New Drugs	Invest New Drugs	0167-6997	1573-0646	Basic	Numbered
Ionics	Ionics	0947-7047	1862-0760	Basic	Numbered
Iranian Polymer Journal	Iran Polym J	1026-1265	1735-5265	Basic	Numbered
Irish Journal of Medical Science	Ir J Med Sci	0021-1265	1863-4362	Basic	Numbered
JBIC Journal of Biological Inorganic Chemistry	J Biol Inorg Chem	0949-8257	1432-1327	Basic	Numbered
Journal of Applied Electrochemistry	J Appl Electrochem	0021-891X	1572-8838	Basic	Numbered
Journal of Bone and Mineral Metabolism	J Bone Miner Metab	0914-8779	1435-5604	Basic	Numbered
Journal of Cancer Education	J Canc Educ	0885-8195	1543-0154	Basic	Numbered
Journal of Chemical Biology	J Chem Biol	1864-6158	1864-6166	Basic	Numbered
Journal of Chemical Crystallography	J Chem Crystallogr	1074-1542	1572-8854	Basic	Numbered
Journal of Children's Orthopaedics	J Child Orthop	1863-2521	1863-2548	Basic	Numbered
Journal of Civil Structural Health Monitoring	J Civil Struct Health Monit	2190-5452	2190-5479	Basic	Numbered
Journal of Computer-Aided Molecular Design	J Comput Aided Mol Des	0920-654X	1573-4951	Basic	Numbered
Journal of Electronic Testing	J Electron Test	0923-8174	1573-0727	Basic	Numbered
Journal of Engineering Mathematics	J Eng Math	0022-0833	1573-2703	Basic	Numbered
Journal of Fluorescence	J Fluoresc	1053-0509	1573-4994	Basic	Numbered
Journal of Hand and Microsurgery	J Hand Microsurg	0974-3227	0974-6897	Basic	Numbered
Journal of Hematopathology	J Hematopathol	1868-9256	1865-5785	Basic	Numbered
Journal of Industrial Microbiology & Biotechnology	J Ind Microbiol Biotechnol	1367-5435	1476-5535	Basic	Numbered
Journal of Marine Science and Technology	J Mar Sci Technol	0948-4280	1437-8213	Basic	Numbered
Journal of Material Cycles and Waste Management	J Mater Cycles Waste Manag	1438-4957	1611-8227	Basic	Numbered
Journal of Materials Science	J Mater Sci	0022-2461	1573-4803	Basic	Numbered
Journal of Maxillofacial and Oral Surgery	J. Maxillofac. Oral Surg.	0972-8279	0974-942X	Basic	Numbered
Journal of Medical Toxicology	J. Med. Toxicol.	1556-9039	1937-6995	Basic	Numbered
Journal of Medicine and the Person	J Med Pers	2035-9411	2036-3877	Basic	Numbered
Journal of Micro-Bio Robotics	J Micro-Bio Robot	2194-6418	2194-6426	Basic	Numbered
Journal of Molecular Medicine	J Mol Med	0946-2716	1432-1440	Basic	Numbered
Journal of Molecular Modeling	J Mol Model	1610-2940	0948-5023	Basic	Numbered
Journal of Natural Medicines	J Nat Med	1340-3443	1861-0293	Basic	Numbered
Journal of Neuro-Oncology	J Neurooncol	0167-594X	1573-7373	Basic	Numbered
Journal of Neurology	J Neurol	0340-5354	1432-1459	Basic	Numbered
Journal of Nuclear Cardiology	J. Nucl. Cardiol.	1071-3581	1532-6551	Basic	Numbered
Journal of Orthopaedics and Traumatology	J Orthopaed Traumatol	1590-9921	1590-9999	Basic	Numbered
Journal of Pharmacokinetics and Pharmacodynamics	J Pharmacokinet Pharmacodyn	1567-567X	1573-8744	Basic	Numbered
Journal of Physiology and Biochemistry	J Physiol Biochem	1138-7548	1877-8755	Basic	Numbered
Journal of Polymer Research	J Polym Res	1022-9760	1572-8935	Basic	Numbered
Journal of Polymers and the Environment	J Polym Environ	1566-2543	1572-8900	Basic	Numbered
Journal of Radiation Oncology	J Radiat Oncol	1948-7894	1948-7908	Basic	Numbered
Journal of Radioanalytical and Nuclear Chemistry	J Radioanal Nucl Chem	0236-5731	1588-2780	Basic	Numbered
Journal of Robotic Surgery	J Robotic Surg	1863-2483	1863-2491	Basic	Numbered
Journal of Sol-Gel Science and Technology	J Sol-Gel Sci Technol	0928-0707	1573-4846	Basic	Numbered
Journal of Solid State Electrochemistry	J Solid State Electrochem	1432-8488	1433-0768	Basic	Numbered
Journal of Structural and Functional Genomics	J Struct Funct Genomics	1345-711X	1570-0267	Basic	Numbered
Journal of Surfactants and Detergents	J Surfact Deterg	1097-3958	1558-9293	Basic	Numbered
Journal of the American Oil Chemists' Society	J Am Oil Chem Soc	0003-021X	1558-9331	Basic	Numbered
Journal of the Brazilian Computer Society	J Braz Comput Soc	0104-6500	1678-4804	Basic	Numbered
Journal of the Brazilian Society of Mechanical Sciences and Engineering	J Braz. Soc. Mech. Sci. Eng.	1678-5878	1806-3691	Basic	Numbered
Journal of Thrombosis and Thrombolysis	J Thromb Thrombolysis	0929-5305	1573-742X	Basic	Numbered
Journal of Wood Science	J Wood Sci	1435-0211	1611-4663	Basic	Numbered
Journal on Data Semantics	J Data Semant	1861-2032	1861-2040	Basic	Numbered
Journal on Multimodal User Interfaces	J Multimodal User Interfaces	1783-7677	1783-8738	Basic	Numbered
KI - Künstliche Intelligenz	Künstl Intell	0933-1875	1610-1987	Basic	Numbered
Knee Surgery, Sports Traumatology, Arthroscopy	Knee Surg Sports Traumatol Arthrosc	0942-2056	1433-7347	Basic	Numbered
Knowledge and Information Systems	Knowl Inf Syst	0219-1377	0219-3116	Basic	Numbered
Langenbeck's Archives of Surgery	Langenbecks Arch Surg	1435-2443	1435-2451	Basic	Numbered
Lasers in Medical Science	Lasers Med Sci	0268-8921	1435-604X	Basic	Numbered
Lipids	Lipids	0024-4201	1558-9307	Basic	Numbered
Logistics Research	Logist. Res.	1865-035X	1865-0368	Basic	Numbered
Lung	Lung	0341-2040	1432-1750	Basic	Numbered
Magnetic Resonance Materials in Physics, Biology and Medicine	Magn Reson Mater Phy	0968-5243	1352-8661	Basic	Numbered
Materials and Structures	Mater Struct	1359-5997	1871-6873	Basic	Numbered
Mathematics of Control, Signals, and Systems	Math. Control Signals Syst.	0932-4194	1435-568X	Basic	Numbered
Meccanica	Meccanica	0025-6455	1572-9648	Basic	Numbered
Medical & Biological Engineering & Computing	Med Biol Eng Comput	0140-0118	1741-0444	Basic	Numbered
Medical Microbiology and Immunology	Med Microbiol Immunol	0300-8584	1432-1831	Basic	Numbered
Medical Molecular Morphology	Med Mol Morphol	1860-1480	1860-1499	Basic	Numbered
Mediterranean Journal of Nutrition and Metabolism	Mediterr J Nutr Metab	1973-798X	1973-7998	Basic	Numbered
Memetic Computing	Memetic Comp.	1865-9284	1865-9292	Basic	Numbered
Microbial Ecology	Microb Ecol	0095-3628	1432-184X	Basic	Numbered
Microchimica Acta	Microchim Acta	0026-3672	1436-5073	Basic	Numbered
Mobile Networks and Applications	Mobile Netw Appl	1383-469X	1572-8153	Basic	Numbered
Molecular and Cellular Biochemistry	Mol Cell Biochem	0300-8177	1573-4919	Basic	Numbered
Molecular Biology Reports	Mol Biol Rep	0301-4851	1573-4978	Basic	Numbered
Molecular Diversity	Mol Divers	1381-1991	1573-501X	Basic	Numbered
Molecular Imaging and Biology	Mol Imaging Biol	1536-1632	1860-2002	Basic	Numbered
Molecular Neurobiology	Mol Neurobiol	0893-7648	1559-1182	Basic	Numbered
Monatshefte für Chemie - Chemical Monthly	Monatsh Chem	0026-9247	1434-4475	Basic	Numbered
Multimedia Tools and Applications	Multimed Tools Appl	1380-7501	1573-7721	Basic	Numbered
MUSCULOSKELETAL SURGERY	Musculoskelet Surg	2035-5106	2035-5114	Basic	Numbered
NanoEthics	Nanoethics	1871-4757	1871-4765	Basic	Numbered
National Academy Science Letters	Natl. Acad. Sci. Lett.	0250-541X	2250-1754	Basic	Numbered
Neural Computing and Applications	Neural Comput & Applic	0941-0643	1433-3058	Basic	Numbered
Neural Processing Letters	Neural Process Lett	1370-4621	1573-773X	Basic	Numbered
Neurochemical Research	Neurochem Res	0364-3190	1573-6903	Basic	Numbered
neurogenetics	Neurogenetics	1364-6745	1364-6753	Basic	Numbered
Neurological Sciences	Neurol Sci	1590-1874	1590-3478	Basic	Numbered
Neuroradiology	Neuroradiology	0028-3940	1432-1920	Basic	Numbered
Neurosurgical Review	Neurosurg Rev	0344-5607	1437-2320	Basic	Numbered
Obere Extremität	Obere Extremität	1862-6599	1862-6602	Basic	Numbered
Oral and Maxillofacial Surgery	Oral Maxillofac Surg	1865-1550	1865-1569	Basic	Numbered
Osteoporosis International	Osteoporos Int	0937-941X	1433-2965	Basic	Numbered
Pathology & Oncology Research	Pathol. Oncol. Res.	1219-4956	1532-2807	Basic	Numbered
Pattern Analysis and Applications	Pattern Anal Applic	1433-7541	1433-755X	Basic	Numbered
Pediatric Cardiology	Pediatr Cardiol	0172-0643	1432-1971	Basic	Numbered
Pediatric Nephrology	Pediatr Nephrol	0931-041X	1432-198X	Basic	Numbered
Pediatric Radiology	Pediatr Radiol	0301-0449	1432-1998	Basic	Numbered
Pediatric Surgery International	Pediatr Surg Int	0179-0358	1437-9813	Basic	Numbered
Peer-to-Peer Networking and Applications	Peer-to-Peer Netw. Appl.	1936-6442	1936-6450	Basic	Numbered
Personal and Ubiquitous Computing	Pers Ubiquit Comput	1617-4909	1617-4917	Basic	Numbered
Pflügers Archiv - European Journal of Physiology	Pflugers Arch - Eur J Physiol	0031-6768	1432-2013	Basic	Numbered
Pituitary	Pituitary	1386-341X	1573-7403	Basic	Numbered
Plant Foods for Human Nutrition	Plant Foods Hum Nutr	0921-9668	1573-9104	Basic	Numbered
Plasma Chemistry and Plasma Processing	Plasma Chem Plasma Process	0272-4324	1572-8986	Basic	Numbered
Plasmonics	Plasmonics	1557-1955	1557-1963	Basic	Numbered
Polymer Bulletin	Polym. Bull.	0170-0839	1436-2449	Basic	Numbered
Prävention und Gesundheitsförderung	Präv Gesundheitsf	1861-6755	1861-6763	Basic	Numbered
Probiotics and Antimicrobial Proteins	Probiotics & Antimicro. Prot.	1867-1306	1867-1314	Basic	Numbered
Proceedings of the National Academy of Sciences, India Section A: Physical Sciences	Proc. Natl. Acad. Sci., India, Sect. A Phys. Sci.	0369-8203	2250-1762	Basic	Numbered
Proceedings of the National Academy of Sciences, India Section B: Biological Sciences	Proc. Natl. Acad. Sci., India, Sect. B Biol. Sci.	0369-8211	2250-1746	Basic	Numbered
Production Engineering	Prod. Eng. Res. Devel.	0944-6524	1863-7353	Basic	Numbered
