Title	ISSN	EISSN	Field	Parent	Format	Documentation
Annals of GIS	1947-5683	1947-5691	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TAGI20&page=instructions
Annals of Leisure Research	1174-5398	2159-6816	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RANZ20&page=instructions
Anthropological Forum	0066-4677	1469-2902	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CANF20&page=instructions
Anthropology & Medicine	1364-8470	1469-2910	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CANM20&page=instructions
Anthropology Southern Africa	2332-3256	2332-3264	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RASA20&page=instructions
Architectural Science Review	0003-8628	1758-9622	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TASR20&page=instructions
Asia Pacific Business Review	1360-2381	1743-792X	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=FAPB20&page=instructions
Asia Pacific Translation and Intercultural Studies	2330-6343	2330-6351	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RTIS20&page=instructions
Asia-Pacific Journal of Accounting & Economics	1608-1625	2164-2257	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAAE20&page=instructions
Asian Anthropology	1683-478X	2168-4227	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAAN20&page=instructions
Asian Geographer	1022-5706	2158-1762	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAGE20&page=instructions
Assessment & Evaluation in Higher Education	0260-2938	1469-297X	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CAEH20&page=instructions
Australian Academic & Research Libraries	0004-8623	1839-471X	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=UARL20&page=instructions
Australian Feminist Studies	0816-4649	1465-3303	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CAFS20&page=instructions
Australian Journal of International Affairs	1035-7718	1465-332X	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CAJI20&page=instructions
Australian Planner	0729-3682	2150-6841	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAPL20&page=instructions
Behaviour & Information Technology	0144-929X	1362-3001	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TBIT20&page=instructions
Biodiversity	1488-8386	2160-0651	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TBID20&page=instructions
British Journal for the History of Philosophy	0960-8788	1469-3526	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RBJH20&page=instructions
British Journal of Religious Education	0141-6200	1740-7931	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CBRE20&page=instructions
British Journal of Sociology of Education	0142-5692	1465-3346	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CBSE20&page=instructions
Canadian Journal of African Studies/ La Revue canadienne des études africaines	0008-3968	1923-3051	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAS20&page=instructions
Canadian Journal of Development Studies / Revue canadienne d'études du développement	0225-5189	2158-9100	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJD20&page=instructions
Canadian Journal of Latin American and Caribbean Studies	0826-3663	2333-1461	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCLC20&page=instructions
Canadian Journal of Philosophy	0045-5091	1911-0820	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCJP20&page=instructions
Capitalism Nature Socialism	1045-5752	1548-3290	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCNS20&page=instructions
Cartography and Geographic Information Science	1523-0406	1545-0465	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TCAG20&page=instructions
Central Asian Survey	0263-4937	1465-3354	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCAS20&page=instructions
Changing English	1358-684X	1469-3585	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCEN20&page=instructions
Children's Geographies	1473-3285	1473-3277	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCHG20&page=instructions
China Economic Journal	1753-8963	1753-8971	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCEJ20&page=instructions
China Journal of Social Work	1752-5098	1752-5101	medicine	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCSW20&page=instructions
Citizenship Studies	1362-1025	1469-3593	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCST20&page=instructions
City	1360-4813	1470-3629	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCIT20&page=instructions
Civil Engineering and Environmental Systems	1028-6608	1029-0249	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GCEE20&page=instructions
Classroom Discourse	1946-3014	1946-3022	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCDI20&page=instructions
CoDesign	1571-0882	1745-3755	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NCDN20&page=instructions
Comedy Studies	2040-610X	2040-6118	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCOS20&page=instructions
Comparative Education	0305-0068	1360-0486	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCED20&page=instructions
Compare: A Journal of Comparative and International Education	0305-7925	1469-3623	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCOM20&page=instructions
Consumption Markets & Culture	1025-3866	1477-223X	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GCMC20&page=instructions
Contemporary Arab Affairs	1755-0912	1755-0920	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAA20&page=instructions
Contemporary Buddhism	1463-9947	1476-7953	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCBH20&page=instructions
Contemporary Italian Politics	2324-8823	2324-8831	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RITA20&page=instructions
Contemporary South Asia	0958-4935	1469-364X	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCSA20&page=instructions
Continuum	1030-4312	1469-3666	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCON20&page=instructions
Creative Industries Journal	1751-0694	1751-0708	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCIJ20&page=instructions
Critical African Studies	2168-1392	2040-7211	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAF20&page=instructions
Critical Policy Studies	1946-0171	1946-018X	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCPS20&page=instructions
Critical Studies on Security	2162-4887	2162-4909	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCSS20&page=instructions
Critical Studies on Terrorism	1753-9153	1753-9161	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RTER20&page=instructions
Culture and Organization	1475-9551	1477-2760	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GSCO20&page=instructions
Culture and Religion	1475-5610	1475-5629	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCAR20&page=instructions
Culture, Health & Sexuality	1369-1058	1464-5351	medicine	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TCHS20&page=instructions
Debatte: Journal of Contemporary Central and Eastern Europe	0965-156X	1469-3712	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CDEB20&page=instructions
Defence and Peace Economics	1024-2694	1476-8267	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GDPE20&page=instructions
Development in Practice	0961-4524	1364-9213	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CDIP20&page=instructions
Development Studies Research. An Open Access Journal		2166-5095	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RDSR20&page=instructions
Diaspora Studies	0973-9572	0976-3457	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RDST20&page=instructions
Digital Creativity	1462-6268	1744-3806	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NDCR20&page=instructions
Digital Journalism	2167-0811	2167-082X	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RDIJ20&page=instructions
Disability & Society	0968-7599	1360-0508	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CDSO20&page=instructions
Dramatherapy	0263-0672	2157-1430	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RDRT20&page=instructions
Early Popular Visual Culture	1746-0654	1746-0662	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REPV20&page=instructions
Early Years	0957-5146	1472-4421	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEYE20&page=instructions
East European Politics	2159-9165	2159-9173	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=FJCS20&page=instructions
Eastern African Literary and Cultural Studies	2327-7408	2327-7416	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REAL20&page=instructions
Economics of Innovation and New Technology	1043-8599	1476-8364	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GEIN20&page=instructions
Education 3-13	0300-4279	1475-7575	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RETT20&page=instructions
Education Economics	0964-5292	1469-5782	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEDE20&page=instructions
Educational Action Research	0965-0792	1747-5074	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REAC20&page=instructions
Educational Research	0013-1881	1469-5847	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RERE20&page=instructions
Educational Review	0013-1911	1465-3397	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEDR20&page=instructions
Educational Studies	0305-5698	1465-3400	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEDS20&page=instructions
Emotional and Behavioural Difficulties	1363-2752	1741-2692	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REBD20&page=instructions
Engineering Optimization	0305-215X	1029-0273	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GENO20&page=instructions
Enterprise Information Systems	1751-7575	1751-7583	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TEIS20&page=instructions
Entrepreneurship & Regional Development	0898-5626	1464-5114	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TEPN20&page=instructions
Environmental Education Research	1350-4622	1469-5871	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEER20&page=instructions
Environmental Sociology		2325-1042	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RENS20&page=instructions
Ethics and Education	1744-9642	1744-9650	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEAE20&page=instructions
Ethics and Social Welfare	1749-6535	1749-6543	medicine	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RESW20&page=instructions
Ethnic and Racial Studies	0141-9870	1466-4356	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RERS20&page=instructions
Ethnicity & Health	1355-7858	1465-3419	medicine	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CETH20&page=instructions
Ethnography and Education	1745-7823	1745-7831	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REAE20&page=instructions
Eurasian Geography and Economics	1538-7216	1938-2863	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REGE20&page=instructions
European Early Childhood Education Research Journal	1350-293X	1752-1807	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RECR20&page=instructions
European Journal of Engineering Education	0304-3797	1469-5898	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEEE20&page=instructions
European Journal of Higher Education	2156-8235	2156-8243	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REHE20&page=instructions
European Journal of Special Needs Education	0885-6257	1469-591X	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REJS20&page=instructions
European Journal of Teacher Education	0261-9768	1469-5928	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CETE20&page=instructions
Feminist Media Studies	1468-0777	1471-5902	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RFMS20&page=instructions
Gender and Education	0954-0253	1360-0516	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CGEE20&page=instructions
Gender, Place & Culture	0966-369X	1360-0524	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CGPC20&page=instructions
Georisk: Assessment and Management of Risk for Engineered Systems and Geohazards	1749-9518	1749-9526	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NGRK20&page=instructions
GIScience & Remote Sensing	1548-1603	1943-7226	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TGRS20&page=instructions
Global Discourse	2326-9995	2043-7897	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RGLD20&page=instructions
Globalisation, Societies and Education	1476-7724	1476-7732	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CGSE20&page=instructions
Green Letters	1468-8417	2168-1414	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RGRL20&page=instructions
History and Anthropology	0275-7206	1477-2612	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GHAN20&page=instructions
Housing, Theory and Society	1403-6096	1651-2278	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=SHOU20&page=instructions
Human Resource Development International	1367-8868	1469-8374	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RHRD20&page=instructions
Ibsen Studies	1502-1866	1741-8720	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=SIBS20&page=instructions
Identities	1070-289X	1547-3384	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GIDE20&page=instructions
Industry and Innovation	1366-2716	1469-8390	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIAI20&page=instructions
Innovation and Development	2157-930X	2157-9318	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIAD20&page=instructions
Innovation in Language Learning and Teaching	1750-1229	1750-1237	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RILL20&page=instructions
Innovation: The European Journal of Social Science Research	1351-1610	1469-8412	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIEJ20&page=instructions
Intelligent Buildings International	1750-8975	1756-6932	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TIBI20&page=instructions
Inter-Asia Cultural Studies	1464-9373	1469-8447	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIAC20&page=instructions
Intercultural Education	1467-5986	1469-8439	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEJI20&page=instructions
International Critical Thought	2159-8282	2159-8312	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RICT20&page=instructions
International Feminist Journal of Politics	1461-6742	1468-4470	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RFJP20&page=instructions
International Journal of Ambient Energy	0143-0750	2162-8246	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TAEN20&page=instructions
International Journal of Bilingual Education and Bilingualism	1367-0050	1747-7522	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RBEB20&page=instructions
International Journal of Children's Spirituality	1364-436X	1469-8455	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIJC20&page=instructions
International Journal of Computational Fluid Dynamics	1061-8562	1029-0257	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GCFD20&page=instructions
International Journal of Computer Integrated Manufacturing	0951-192X	1362-3052	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TCIM20&page=instructions
International Journal of Digital Earth	1753-8947	1753-8955	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TJDE20&page=instructions
International Journal of Early Years Education	0966-9760	1469-8463	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIEY20&page=instructions
International Journal of General Systems	0308-1079	1563-5104	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GGEN20&page=instructions
International Journal of Health Promotion and Education	1463-5240	2164-9545	medicine	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RHPE20&page=instructions
International Journal of Heritage Studies	1352-7258	1470-3610	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJHS20&page=instructions
International Journal of Inclusive Education	1360-3116	1464-5173	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TIED20&page=instructions
International Journal of Logistics Research and Applications	1367-5567	1469-848X	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJOL20&page=instructions
International Journal of Performance Arts and Digital Media	1479-4713	2040-0934	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPDM20&page=instructions
International Journal of Production Research	0020-7543	1366-588X	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TPRS20&page=instructions
International Journal of Remote Sensing	0143-1161	1366-5901	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TRES20&page=instructions
International Journal of Research & Method in Education	1743-727X	1743-7288	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CWSE20&page=instructions
International Journal of Sustainable Energy	1478-6451	1478-646X	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GSOL20&page=instructions
International Journal of Sustainable Engineering	1939-7038	1939-7046	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TSUE20&page=instructions
International Journal of the Economics of Business	1357-1516	1466-1829	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIJB20&page=instructions
International Planning Studies	1356-3475	1469-9265	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIPS20&page=instructions
International Review of Applied Economics	0269-2171	1465-3486	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIRA20&page=instructions
International Review of Law, Computers & Technology	1360-0869	1364-6885	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CIRL20&page=instructions
International Studies in Catholic Education	1942-2539	1942-2547	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RICE20&page=instructions
Interventions	1369-801X	1469-929X	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIIJ20&page=instructions
Irish Educational Studies	0332-3315	1747-4965	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIES20&page=instructions
Islam and Christian–Muslim Relations	0959-6410	1469-9311	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CICM20&page=instructions
Journal of African Cultural Studies	1369-6815	1469-9346	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJAC20&page=instructions
Journal of Baltic Studies	0162-9778	1751-7877	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RBAL20&page=instructions
Journal of Beliefs & Values	1361-7672	1469-9362	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJBV20&page=instructions
Journal of Biological Education	0021-9266	2157-6009	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJBE20&page=instructions
Journal of Building Performance Simulation	1940-1493	1940-1507	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TBPS20&page=instructions
Journal of Children and Poverty	1079-6126	1469-9389	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJCP20&page=instructions
Journal of Chinese Cinemas	1750-8061	1750-807X	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJCC20&page=instructions
Journal of Chinese Economic and Business Studies	1476-5284	1476-5292	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RCEA20&page=instructions
Journal of Contemporary African Studies	0258-9001	1469-9397	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJCA20&page=instructions
Journal of Contemporary Asia	0047-2336	1752-7554	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJOC20&page=instructions
Journal of Contemporary European Studies	1478-2804	1478-2790	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJEA20&page=instructions
Journal of Crime and Justice	0735-648X	2158-9119	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJCJ20&page=instructions
Journal of Cultural Economy	1753-0350	1753-0369	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJCE20&page=instructions
Journal of Development Effectiveness	1943-9342	1943-9407	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJDE20&page=instructions
Journal of Economic Policy Reform	1748-7870	1748-7889	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GPRE20&page=instructions
Journal of Education and Work	1363-9080	1469-9435	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJEW20&page=instructions
Journal of Education for Teaching	0260-7476	1360-0540	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJET20&page=instructions
Journal of Education Policy	0268-0939	1464-5106	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TEDP20&page=instructions
Journal of Elections, Public Opinion & Parties	1745-7289	1745-7297	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=FBEP20&page=instructions
Journal of Engineering Design	0954-4828	1466-1837	engineering	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJEN20&page=instructions
Journal of Environmental Economics and Policy	2160-6544	2160-6552	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TEEP20&page=instructions
Journal of Environmental Planning and Management	0964-0568	1360-0559	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJEP20&page=instructions
