Title	ISSN	Parent	Format
Preventive Veterinary Medicine	0167-5877	elsevier-harvard	author-date
Prostaglandins and Other Lipid Mediators	1098-8823	elsevier-vancouver	numeric
International Journal of Production Economics	0925-5273	elsevier-harvard	author-date
Progress in Histochemistry and Cytochemistry	0079-6336	vancouver-author-date	author-date
Procedia Manufacturing	2351-9789	elsevier-without-titles	numeric
Progress in Neurobiology	0301-0082	elsevier-harvard	author-date
Progress in Oceanography	0079-6611	elsevier-harvard	author-date
Progress in Planning	0305-9006	apa	author-date
Journal of Materials Processing Tech.	0924-0136	elsevier-harvard	author-date
Pathology - Research and Practice	0344-0338	elsevier-with-titles	numeric
Pratiques psychologiques	1269-1763	apa	author-date
Practical Radiation Oncology	1879-8500	american-medical-association	numeric
Progress in Surface Science	0079-6816	elsevier-with-titles	numeric
Process Safety and Environmental Protection	0957-5820	elsevier-harvard	author-date
Psychologie française	0033-2984	apa	author-date
Plant Science	0168-9452	elsevier-with-titles	numeric
Journal of Psychosomatic Research	0022-3999	elsevier-vancouver	numeric
Planetary and Space Science	0032-0633	elsevier-harvard	author-date
Psychiatry Research	0165-1781	elsevier-harvard	author-date
Psychiatry Research: Neuroimaging	0925-4927	elsevier-harvard	author-date
Psychology of Sport & Exercise	1469-0292	apa	author-date
Powder Technology	0032-5910	elsevier-with-titles	numeric
Journal of Public Economics	0047-2727	elsevier-harvard	author-date
Public Health Forum	0944-5587	vancouver-author-date	author-date
Public Relations Review	0363-8111	apa	author-date
Progrès en Urologie	1166-7087	elsevier-vancouver	numeric
Journal of Purchasing and Supply Management	1478-4092	elsevier-harvard	author-date
Quarterly Review of Economics and Finance	1062-9769	apa	author-date
Quaternary Geochronology	1871-1014	elsevier-harvard	author-date
Quaderni Italiani di Psichiatria	0393-0645	elsevier-vancouver	numeric
Research in Accounting Regulation	1052-0457	apa	author-date
Radiotherapy and Oncology	0167-8140	elsevier-vancouver	numeric
Research in Autism Spectrum Disorders	1750-9467	apa	author-date
Reproductive BioMedicine Online	1472-6483	elsevier-harvard	author-date
Robotics and Computer Integrated Manufacturing	0736-5845	elsevier-vancouver	numeric
Revue de Chirurgie Orthopedique et Traumatologique	1877-0517	elsevier-vancouver	numeric
Revista de Contabilidad	1138-4891	apa	author-date
Review of Development Finance	1879-9337	elsevier-harvard	author-date
Resources, Conservation & Recycling	0921-3449	vancouver-author-date	author-date
Revista Europea de Dirección y Economía de la Empresa	1019-6838	apa	author-date
Redox Biology	2213-2317	elsevier-with-titles	numeric
Regional Science and Urban Economics	0166-0462	elsevier-harvard	author-date
Regulatory Peptides	0167-0115	elsevier-vancouver	numeric
Annals of Physical and Rehabilitation Medicine	1877-0657	elsevier-vancouver	numeric
Renewable Energy	0960-1481	elsevier-vancouver	numeric
Reproductive Biology	1642-431X	elsevier-vancouver	numeric
Resource and Energy Economics	0928-7655	elsevier-harvard	author-date
Research in Microbiology	0923-2508	elsevier-vancouver	numeric
Revue d'Epidemiologie et de Santé Publique	0398-7620	elsevier-vancouver	numeric
Respiratory Physiology & Neurobiology	1569-9048	elsevier-harvard	author-date
Research Policy	0048-7333	elsevier-harvard	author-date
Reliability Engineering and System Safety	0951-8320	elsevier-vancouver	numeric
Resuscitation	0300-9572	elsevier-vancouver	numeric
Research in Transportation Economics	0739-8859	apa	author-date
Revue Française d'Allergologie	1877-0320	elsevier-vancouver	numeric
International Review of Economics and Finance	1059-0560	apa	author-date
Review of Financial Economics	1058-3300	apa	author-date
La Revue d'Homéopathie	1878-9730	elsevier-vancouver	numeric
La revue de l'infirmière	1293-8505	elsevier-vancouver	numeric
La revue de médecine interne	0248-8663	elsevier-vancouver	numeric
Revue de micropaléontologie	0035-1598	elsevier-harvard	author-date
Revue du podologue	1766-7313	elsevier-vancouver	numeric
Revue du rhumatisme	1169-8330	elsevier-vancouver	numeric
La revue de santé scolaire et universitaire	1879-3991	elsevier-vancouver	numeric
Revue de Stomatologie, de Chirurgie Maxillo-faciale et de Chirurgie Orale	2213-6533	elsevier-vancouver	numeric
Revue Francophone d'Orthoptie	1876-2204	elsevier-vancouver	numeric
Russian Geology and Geophysics	1068-7971	elsevier-harvard	author-date
La Revue Gestion et Organisation	2214-4234	apa	author-date
Research in International Business and Finance	0275-5319	elsevier-harvard	author-date
Research in Developmental Disabilities	0891-4222	apa	author-date
Revista Internacional de Métodos Numéricos para Cálculo y Diseño en Ingeniería	0213-1315	elsevier-with-titles	numeric
Results in Immunology	2211-2839	elsevier-vancouver	numeric
Results in Physics	2211-3797	elsevier-vancouver	numeric
Results in Pharma Sciences	2211-2863	elsevier-vancouver	numeric
Research in Organizational Behavior	0191-3085	apa	author-date
Revista de Logopedia, Foniatría y Audiología	0214-4603	apa	author-date
Radiation Measurements	1350-4487	elsevier-harvard	author-date
Respiratory Medicine Case Reports	2213-0071	elsevier-vancouver	numeric
International Journal of Refractory Metals and Hard Materials	0263-4368	elsevier-vancouver	numeric
International Journal of Rock Mechanics and Mining Sciences	1365-1609	elsevier-vancouver	numeric
Revue des Maladies Respiratoires	0761-8425	elsevier-vancouver	numeric
Robotics and Autonomous Systems	0921-8890	elsevier-with-titles	numeric
Radiation Physics and Chemistry	0969-806X	elsevier-harvard	author-date
Research in Social and Administrative Pharmacy	1551-7411	american-medical-association	numeric
Remote Sensing of Environment	0034-4257	apa	author-date
Renewable and Sustainable Energy Reviews	1364-0321	elsevier-vancouver	numeric
Research in Social Stratification and Mobility	0276-5624	apa	author-date
Research in Transportation Business & Management	2210-5395	apa	author-date
Reproductive Toxicology	0890-6238	elsevier-vancouver	numeric
Small Ruminant Research	0921-4488	elsevier-harvard	author-date
Journal of Rural Studies	0743-0167	elsevier-harvard	author-date
Reviews in Vascular Medicine	2212-0211	elsevier-vancouver	numeric
Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy	1386-1425	elsevier-with-titles	numeric
Spectrochimica Acta Part B: Atomic Spectroscopy	0584-8547	elsevier-with-titles	numeric
Safety Science	0925-7535	elsevier-harvard	author-date
La Revue Sage-Femme	1637-4088	elsevier-vancouver	numeric
South African Journal of Botany	0254-6299	elsevier-harvard	author-date
Journal of South American Earth Sciences	0895-9811	elsevier-harvard	author-date
Soils and Foundations	0038-0806	elsevier-harvard	author-date
International Journal of Solids and Structures	0020-7683	elsevier-harvard	author-date
Soins Aides-soignantes	1770-9857	elsevier-vancouver	numeric
Journal of Substance Abuse Treatment	0740-5472	apa	author-date
Soil Biology and Biochemistry	0038-0717	elsevier-harvard	author-date
Journal of Steroid Biochemistry and Molecular Biology	0960-0760	elsevier-with-titles	numeric
Sensing and Bio-Sensing Research	2214-1804	elsevier-with-titles	numeric
Soins Cadres	0183-2980	elsevier-vancouver	numeric
Scandinavian Journal of Management	0956-5221	apa	author-date
Schizophrenia Research	0920-9964	elsevier-harvard	author-date
Science of Computer Programming	0167-6423	elsevier-with-titles	numeric
Science & Justice	1355-0306	elsevier-with-titles	numeric
Science et Sports	0765-1597	elsevier-vancouver	numeric
Systems & Control Letters	0167-6911	elsevier-with-titles	numeric
Schizophrenia Research: Cognition	2215-0013	elsevier-harvard	author-date
Studies in Communication Sciences	1424-4896	apa	author-date
Stem Cell Research	1873-5061	elsevier-harvard	author-date
Sustainable Cities and Society	2210-6707	apa	author-date
Surface & Coatings Technology	0257-8972	elsevier-with-titles	numeric
Soil Dynamics and Earthquake Engineering	0267-7261	elsevier-vancouver	numeric
The Saudi Dental Journal	1013-9052	elsevier-harvard	author-date
Singapore Dental Journal	0377-5291	elsevier-with-titles	numeric
Solar Energy	0038-092X	elsevier-harvard	author-date
Journal of Sea Research	1385-1101	elsevier-harvard	author-date
Journal of Second Language Writing	1060-3743	apa	author-date
Sedimentary Geology	0037-0738	elsevier-harvard	author-date
Separation and Purification Technology	1383-5866	elsevier-with-titles	numeric
Socio-Economic Planning Sciences	0038-0121	elsevier-vancouver	numeric
Serials Review	0098-7913	apa	author-date
Sustainable Energy Technologies and Assessments	2213-1388	elsevier-vancouver	numeric
Sexologies	1158-1360	vancouver-author-date	author-date
Seminars in Fetal and Neonatal Medicine	1744-165X	elsevier-vancouver	numeric
Journal of Structural Geology	0191-8141	elsevier-harvard	author-date
Soins Gérontologie	1268-6034	elsevier-vancouver	numeric
Safety and Health at Work	2093-7911	elsevier-vancouver	numeric
Studies in History and Philosophy of Modern Physics	1355-2198	apa	author-date
Studies in History and Philosophy of Science	0039-3681	apa	author-date
Studies in History and Philosophy of Biol & Biomed Sci	1369-8486	apa	author-date
Signal Processing	0165-1684	elsevier-with-titles	numeric
Simulation Modelling Practice and Theory	1569-190X	elsevier-with-titles	numeric
Saudi Journal of Biological Sciences	1319-562X	elsevier-harvard	author-date
Scandinavian Journal of Pain	1877-8860	elsevier-vancouver	numeric
Sleep Medicine	1389-9457	elsevier-vancouver	numeric
Sport Management Review	1441-3523	apa	author-date
Sensors & Actuators: A. Physical	0924-4247	elsevier-with-titles	numeric
Sensors & Actuators: B. Chemical	0925-4005	elsevier-with-titles	numeric
Surgical Oncology	0960-7404	elsevier-vancouver	numeric
Surgery for Obesity and Related Diseases	1550-7289	elsevier-vancouver	numeric
The Social Science Journal	0362-3319	apa	author-date
Sociologie du travail	0038-0296	elsevier-harvard	author-date
Soins	0038-0814	elsevier-vancouver	numeric
Solar Energy Materials and Solar Cells	0927-0248	elsevier-with-titles	numeric
Social Networks	0378-8733	elsevier-harvard	author-date
Surveys in Operations Research and Management Science	1876-7354	elsevier-with-titles	numeric
Solid State Ionics	0167-2738	elsevier-without-titles	numeric
Spatial Statistics	2211-6753	elsevier-harvard	author-date
Speech Communication	0167-6393	elsevier-harvard	author-date
The Spine Journal	1529-9430	elsevier-vancouver	numeric
Saudi Pharmaceutical Journal	1319-0164	elsevier-harvard	author-date
Soins Pédiatrie/Puériculture	1259-4792	elsevier-vancouver	numeric
Journal of Stored Products Research	0022-474X	elsevier-harvard	author-date
Soins Psychiatrie	0241-6972	elsevier-vancouver	numeric
The Spanish Review of Financial Economics	2173-1268	elsevier-harvard	author-date
Sexual & Reproductive Healthcare	1877-5756	elsevier-vancouver	numeric
Solid State Communications	0038-1098	elsevier-without-titles	numeric
Solid State Electronics	0038-1101	elsevier-vancouver	numeric
Social Science & Medicine	0277-9536	elsevier-harvard	author-date
Solid State Sciences	1293-2558	elsevier-with-titles	numeric
Spatial and Spatio-temporal Epidemiology	1877-5845	vancouver-author-date	author-date
Statistics and Probability Letters	0167-7152	elsevier-harvard	author-date
Steroids	0039-128X	elsevier-vancouver	numeric
Cell Stem Cell	1934-5909	elsevier-harvard	author-date
Stem Cell Reports	2213-6711	elsevier-harvard	author-date
Structure	0969-2126	elsevier-harvard	author-date
Soil & Tillage Research	0167-1987	elsevier-harvard	author-date
Science of the Total Environment	0048-9697	vancouver-author-date	author-date
Structural Change and Economic Dynamics	0954-349X	elsevier-harvard	author-date
Journal of Strategic Information Systems	0963-8687	elsevier-harvard	author-date
Structural Safety	0167-4730	elsevier-vancouver	numeric
The Journal of Supercritical Fluids	0896-8446	elsevier-with-titles	numeric
Surface Science	0039-6028	elsevier-with-titles	numeric
Sustainable Computing: Informatics and Systems	2210-5379	elsevier-with-titles	numeric
Sustainable Materials and Technologies	2214-9937	elsevier-with-titles	numeric
Surface Science Reports	0167-5729	elsevier-with-titles	numeric
Sustainability of Water Quality and Ecology	2212-6139	elsevier-harvard	author-date
Swarm and Evolutionary Computation	2210-6502	elsevier-with-titles	numeric
Synthetic Metals	0379-6779	elsevier-with-titles	numeric
Synergy Research	2213-7130	elsevier-vancouver	numeric
System	0346-251X	apa	author-date
Journal of Systems Architecture	1383-7621	elsevier-with-titles	numeric
Theoretical and Applied Fracture Mechanics	0167-8442	elsevier-with-titles	numeric
Teaching and Teacher Education	0742-051X	apa	author-date
Journal of Thermal Biology	0306-4565	elsevier-harvard	author-date
Travel Behaviour and Society	2214-367X	elsevier-harvard	author-date
Thermochimica Acta	0040-6031	elsevier-with-titles	numeric
Trends in Cardiovascular Medicine	1050-1738	vancouver-author-date	author-date
Tzu Chi Medical Journal	1016-3190	elsevier-vancouver	numeric
Theoretical Computer Science	0304-3975	elsevier-with-titles	numeric
Tanta Dental Journal	1687-8574	elsevier-vancouver	numeric
Trends in Environmental Analytical Chemistry	2214-1588	elsevier-with-titles	numeric
Technovation	0166-4972	elsevier-harvard	author-date
Tectonophysics	0040-1951	elsevier-harvard	author-date
TÉKHNE - Review of Applied Management Studies	1645-9911	apa	author-date
Telematics and Informatics	0736-5853	elsevier-harvard	author-date
Teaching and Learning in Nursing	1557-3087	apa	author-date
Journal of Terramechanics	0022-4898	elsevier-vancouver	numeric
Technological Forecasting & Social Change	0040-1625	elsevier-with-titles	numeric
Theriogenology	0093-691X	elsevier-vancouver	numeric
The Knee	0968-0160	elsevier-vancouver	numeric
International Journal of Thermal Sciences	1290-0729	elsevier-with-titles	numeric
Trends in Food Science & Technology	0924-2244	apa	author-date
Trends in Neuroscience and Education	2211-9493	elsevier-vancouver	numeric
Technology in Society	0160-791X	elsevier-vancouver	numeric
Toxicology in Vitro	0887-2333	elsevier-harvard	author-date
The Journal for Nurse Practitioners	1555-4155	american-medical-association	numeric
Taiwan Journal of Ophthalmology	2211-5056	american-medical-association	numeric
Taiwanese Journal of Obstetrics & Gynecology	1028-4559	elsevier-vancouver	numeric
Travel Medicine and Infectious Disease	1477-8939	elsevier-vancouver	numeric
Tourism Management Perspectives	2211-9736	apa	author-date
Topology and its Applications	0166-8641	elsevier-with-titles	numeric
Toxicology	0300-483X	elsevier-harvard	author-date
Toxicologie Analytique et Clinique	2352-0078	elsevier-vancouver	numeric
Toxicon	0041-0101	elsevier-harvard	author-date
Toxicology Letters	0378-4274	elsevier-harvard	author-date
Toxicology Reports	2214-7500	elsevier-with-titles	numeric
Transplantation Proceedings	0041-1345	elsevier-vancouver	numeric
Thrombosis Research	0049-3848	elsevier-vancouver	numeric
Transportation Research Part A	0965-8564	elsevier-harvard	author-date
Trends in Analytical Chemistry	0165-9936	elsevier-with-titles	numeric
Transfusion clinique et biologique	1246-7820	elsevier-vancouver	numeric
Transfusion and Apheresis Science	1473-0502	elsevier-vancouver	numeric
Transportation Research Part B	0191-2615	elsevier-harvard	author-date
Transportation Research Part C	0968-090X	elsevier-harvard	author-date
Transportation Research Part D	1361-9209	elsevier-harvard	author-date
Transportation Research Part E	1366-5545	elsevier-harvard	author-date
Transportation Research Part F: Psychology and Behaviour	1369-8478	apa	author-date
Transportation Geotechnics	2214-3912	vancouver-author-date	author-date
Transplant Immunology	0966-3274	elsevier-vancouver	numeric
Trials in Vaccinology	1879-4378	elsevier-with-titles	numeric
Transportation Research Procedia	2352-1465	elsevier-harvard	author-date
Translational Proteomics	2212-9634	elsevier-vancouver	numeric
Thinking Skills and Creativity	1871-1871	apa	author-date
Thin Solid Films	0040-6090	elsevier-with-titles	numeric
Ticks and Tick-borne Diseases	1877-959X	elsevier-harvard	author-date
Tunnelling and Underground Space Technology incorporating Trenchless Technology Research	0886-7798	elsevier-harvard	author-date
Thin-Walled Structures	0263-8231	elsevier-vancouver	numeric
Urban Climate	2212-0955	elsevier-harvard	author-date
Urban Forestry & Urban Greening	1618-8667	elsevier-harvard	author-date
Ultramicroscopy	0304-3991	elsevier-with-titles	numeric
Ultrasonics	0041-624X	elsevier-with-titles	numeric
Ultrasonics - Sonochemistry	1350-4177	elsevier-with-titles	numeric
UMK Procedia	2214-0115	apa	author-date
Urology	0090-4295	american-medical-association	numeric
Urologic Oncology: Seminars and Original Investigations	1078-1439	elsevier-vancouver	numeric
Vacuum	0042-207X	elsevier-vancouver	numeric
The Vaccine Companion	1876-0775	elsevier-vancouver	numeric
Vehicular Communications	2214-2096	elsevier-with-titles	numeric
Revue vétérinaire Clinique	2214-5672	elsevier-vancouver	numeric
Veterinary Immunology and Immunopathology	0165-2427	elsevier-harvard	author-date
Veterinary Microbiology	0378-1135	elsevier-harvard	author-date
Veterinary Parasitology	0304-4017	elsevier-harvard	author-date
Value in Health Regional Issues	2212-1099	elsevier-vancouver	numeric
Vibrational Spectroscopy	0924-2031	elsevier-with-titles	numeric
Journal of Virological Methods	0166-0934	elsevier-harvard	author-date
Virus Research	0168-1702	elsevier-harvard	author-date
Video Journal and Encyclopedia of GI Endoscopy	2212-0971	elsevier-vancouver	numeric
Integration, the VLSI Journal	0167-9260	elsevier-with-titles	numeric
Journal of Volcanology and Geothermal Research	0377-0273	elsevier-harvard	author-date
Vascular Pharmacology	1537-1891	elsevier-vancouver	numeric
Vision Research	0042-6989	apa	author-date
Vocation sage-femme	1634-0760	elsevier-vancouver	numeric
Weather and Climate Extremes	2212-0947	elsevier-harvard	author-date
Wave Motion	0165-2125	elsevier-with-titles	numeric
World Development	0305-750X	apa	author-date
Wear	0043-1648	elsevier-with-titles	numeric
Web Semantics: Science, Services and Agents on the World Wide Web	1570-8268	elsevier-with-titles	numeric
Wilderness & Environmental Medicine	1080-6032	american-medical-association	numeric
Wine Economics and Policy	2212-9774	elsevier-harvard	author-date
Women's Health Issues	1049-3867	apa	author-date
World Journal of Acupuncture - Moxibustion	1003-5257	vancouver-author-date	author-date
Waste Management	0956-053X	elsevier-harvard	author-date
Wound Medicine	2213-9095	elsevier-vancouver	numeric
Woman - Psychosomatic Gynaecology and Obstetrics	2213-560X	vancouver-author-date	author-date
Journal of World Business	1090-9516	apa	author-date
World Patent Information	0172-2190	elsevier-vancouver	numeric
World Psychiatry	1723-8617	american-medical-association	numeric
Water Research	0043-1354	elsevier-harvard	author-date
Water Resources and Economics	2212-4284	elsevier-with-titles	numeric
Water Resources and Industry	2212-3717	elsevier-with-titles	numeric
Water resources and rural development	2212-6082	elsevier-with-titles	numeric
Women's Studies International Forum	0277-5395	apa	author-date
Water Science	1110-4929	elsevier-harvard	author-date
Arthroscopy Techniques	2212-6287	american-medical-association	numeric
Journal of Radiology Nursing	1546-0843	apa	author-date
Analytical Biochemistry	0003-2697	elsevier-with-titles	numeric
Applied and Computational Harmonic Analysis	1063-5203	elsevier-with-titles	numeric
Atomic Data and Nuclear Data Tables	0092-640X	elsevier-with-titles	numeric
Annals of Diagnostic Pathology	1092-9134	elsevier-vancouver	numeric
American Journal of Emergency Medicine	0735-6757	elsevier-vancouver	numeric
American Journal of Kidney Diseases	0272-6386	american-medical-association	numeric
American Journal of Otolaryngology--Head and Neck Medicine and Surgery	0196-0709	elsevier-vancouver	numeric
Anaerobe	1075-9964	elsevier-vancouver	numeric
Animal Behaviour	0003-3472	apa	author-date
Annals of Physics	0003-4916	elsevier-with-titles	numeric
Applied Nursing Research	0897-1897	apa	author-date
Archives of Psychiatric Nursing	0883-9417	apa	author-date
The Journal of Arthroplasty	0883-5403	elsevier-vancouver	numeric
The British Accounting Review	0890-8389	apa	author-date
Biology of Blood and Marrow Transplantation	1083-8791	american-medical-association	numeric
Biochemical and Biophysical Research Communications	0006-291X	elsevier-with-titles	numeric
Blood Cells, Molecules and Diseases	1079-9796	elsevier-with-titles	numeric
Biological Control	1049-9644	elsevier-harvard	author-date
Best Practice & Research Clinical Anaesthesiology	1521-6896	elsevier-vancouver	numeric
Best Practice & Research Clinical Endocrinology & Metabolism	1521-690X	elsevier-vancouver	numeric
Best Practice & Research Clinical Gastroenterology	1521-6918	elsevier-vancouver	numeric
Best Practice & Research Clinical Haematology	1521-6926	elsevier-vancouver	numeric
Biosystems Engineering	1537-5110	apa	author-date
Best Practice & Research Clinical Obstetrics & Gynaecology	1521-6934	elsevier-vancouver	numeric
Best Practice & Research Clinical Rheumatology	1521-6942	elsevier-vancouver	numeric
Biologicals	1045-1056	elsevier-vancouver	numeric
Blood Reviews	0268-960X	elsevier-vancouver	numeric
Brain Behavior and Immunity	0889-1591	elsevier-harvard	author-date
Brain and Cognition	0278-2626	apa	author-date
Brain and Language	0093-934X	apa	author-date
The Breast	0960-9776	elsevier-vancouver	numeric
Consciousness and Cognition	1053-8100	apa	author-date
Cell Calcium	0143-4160	elsevier-with-titles	numeric
Contemporary Educational Psychology	0361-476X	apa	author-date
Cellular Immunology	0008-8749	elsevier-with-titles	numeric
Clinical Immunology	1521-6616	elsevier-with-titles	numeric
Clinical Oncology	0936-6555	elsevier-vancouver	numeric
Cognitive Psychology	0010-0285	apa	author-date
Comprehensive Psychiatry	0010-440X	elsevier-vancouver	numeric
Critical Perspectives on Accounting	1045-2354	vancouver-author-date	author-date
Cretaceous Research	0195-6671	elsevier-harvard	author-date
Computer Speech & Language	0885-2308	elsevier-harvard	author-date
Cancer Treatment Reviews	0305-7372	elsevier-vancouver	numeric
Computer Vision and Image Understanding	1077-3142	elsevier-with-titles	numeric
Cytokine	1043-4666	elsevier-vancouver	numeric
Developmental Biology	0012-1606	elsevier-harvard	author-date
Digestive and Liver Disease	1590-8658	elsevier-vancouver	numeric
Developmental Review	0273-2297	apa	author-date
Drug Resistance Updates	1368-7646	elsevier-harvard	author-date
Digital Signal Processing	1051-2004	elsevier-with-titles	numeric
Epilepsy & Behavior	1525-5050	elsevier-vancouver	numeric
Estuarine, Coastal and Shelf Science	0272-7714	elsevier-harvard	author-date
Ecotoxicology and Environmental Safety	0147-6513	elsevier-harvard	author-date
European Journal of Oncology Nursing	1462-3889	elsevier-harvard	author-date
Environmental Research	0013-9351	elsevier-harvard	author-date
European Journal of Combinatorics	0195-6698	elsevier-with-titles	numeric
Experimental Cell Research	0014-4827	elsevier-with-titles	numeric
Explorations in Economic History	0014-4983	elsevier-harvard	author-date
Experimental Eye Research	0014-4835	elsevier-harvard	author-date
Experimental and Molecular Pathology	0014-4800	elsevier-harvard	author-date
Experimental Neurology	0014-4886	elsevier-harvard	author-date
Experimental Parasitology	0014-4894	elsevier-harvard	author-date
Finite Fields and Their Applications	1071-5797	elsevier-with-titles	numeric
Fungal Genetics and Biology	1087-1845	elsevier-harvard	author-date
Food Microbiology	0740-0020	elsevier-harvard	author-date
The Foot	0958-2592	elsevier-vancouver	numeric
Frontiers in Neuroendocrinology	0091-3022	elsevier-harvard	author-date
Fish and Shellfish Immunology	1050-4648	elsevier-vancouver	numeric
LWT - Food Science and Technology	0023-6438	apa	author-date
Games and Economic Behavior	0899-8256	elsevier-harvard	author-date
General and Comparative Endocrinology	0016-6480	elsevier-harvard	author-date
Genomics	0888-7543	elsevier-with-titles	numeric
Growth Hormone & IGF Research	1096-6374	elsevier-with-titles	numeric
Graphical Models	1524-0703	elsevier-with-titles	numeric
Gynecologic Oncology	0090-8258	elsevier-vancouver	numeric
Hormones and Behavior	0018-506X	elsevier-harvard	author-date
Historia Mathematica	0315-0860	elsevier-harvard	author-date
Human Pathology	0046-8177	elsevier-vancouver	numeric
Icarus	0019-1035	elsevier-harvard	author-date
Intensive & Critical Care Nursing	0964-3397	vancouver-author-date	author-date
International Information and Library Review	1057-2317	apa	author-date
International Journal of Human - Computer Studies	1071-5819	elsevier-harvard	author-date
Information and Computation	0890-5401	elsevier-with-titles	numeric
Journal of Anthropological Archaeology	0278-4165	elsevier-harvard	author-date
Journal of Algebra	0021-8693	elsevier-with-titles	numeric
Journal of Adolescence	0140-1971	apa	author-date
Journal of Arid Environments	0140-1963	elsevier-harvard	author-date
Arthroscopy: The Journal of Arthroscopic and Related Surgery	0749-8063	american-medical-association	numeric
Journal of Archaeological Science	0305-4403	elsevier-harvard	author-date
Journal of Autoimmunity	0896-8411	elsevier-vancouver	numeric
Journal of Biomedical Informatics	1532-0464	elsevier-vancouver	numeric
Journal of Bodywork & Movement Therapies	1360-8592	elsevier-harvard	author-date
Journal of Catalysis	0021-9517	elsevier-with-titles	numeric
Journal of Comparative Economics	0147-5967	elsevier-harvard	author-date
Journal of Computational Physics	0021-9991	elsevier-with-titles	numeric
Journal of Critical Care	0883-9441	elsevier-vancouver	numeric
Journal of Cereal Science	0733-5210	elsevier-harvard	author-date
Journal of Computer and System Sciences	0022-0000	elsevier-with-titles	numeric
Journal of Experimental Child Psychology	0022-0965	apa	author-date
Journal of Environmental Economics and Management	0095-0696	elsevier-harvard	author-date
Journal of Electrocardiology	0022-0736	elsevier-vancouver	numeric
Journal of Environmental Management	0301-4797	elsevier-harvard	author-date
Journal of Experimental Social Psychology	0022-1031	apa	author-date
Journal of Economic Theory	0022-0531	elsevier-with-titles	numeric
Journal of Environmental Psychology	0272-4944	apa	author-date
Journal of Equine Veterinary Science	0737-0806	elsevier-vancouver	numeric
Journal of Functional Analysis	0022-1236	elsevier-with-titles	numeric
Journal of Food Composition and Analysis	0889-1575	elsevier-harvard	author-date
Journal of Financial Intermediation	1042-9573	elsevier-harvard	author-date
Journal of Fluids and Structures	0889-9746	elsevier-harvard	author-date
Journal of Housing Economics	1051-1377	elsevier-harvard	author-date
Journal of Invertebrate Pathology	0022-2011	elsevier-harvard	author-date
Journal of The Japanese and International Economies	0889-1583	elsevier-harvard	author-date
Journal of Molecular Biology	0022-2836	elsevier-vancouver	numeric
Journal of Molecular and Cellular Cardiology	0022-2828	elsevier-vancouver	numeric
Journal of Memory and Language	0749-596X	apa	author-date
Journal of Mathematical Psychology	0022-2496	apa	author-date
Journal of Magnetic Resonance	1090-7807	elsevier-with-titles	numeric
Journal of Network and Computer Applications	1084-8045	vancouver-author-date	author-date
Journal of Clinical Neuroscience	0967-5868	elsevier-vancouver	numeric
Journal of PeriAnesthesia Nursing	1089-9472	american-medical-association	numeric
Journal of Parallel and Distributed Computing	0743-7315	elsevier-with-titles	numeric
Journal of Pediatric Nursing	0882-5963	apa	author-date
Journal of Phonetics	0095-4470	apa	author-date
Pain Management Nursing	1524-9042	apa	author-date
Journal of Professional Nursing	8755-7223	apa	author-date
Journal of Pediatric Surgery	0022-3468	elsevier-vancouver	numeric
Journal of Research in Personality	0092-6566	apa	author-date
Journal of Structural Biology	1047-8477	elsevier-harvard	author-date
Journal of Symbolic Computation	0747-7171	elsevier-harvard	author-date
Journal of Surgical Research	0022-4804	elsevier-vancouver	numeric
Journal of Sound and Vibration	0022-460X	elsevier-with-titles	numeric
Journal of Theoretical Biology	0022-5193	elsevier-harvard	author-date
Journal of Urban Economics	0094-1190	elsevier-harvard	author-date
Journal of Vocational Behavior	0001-8791	apa	author-date
Journal of Visual Communication and Image Representation	1047-3203	elsevier-with-titles	numeric
Journal of Visual Languages and Computing	1045-926X	elsevier-with-titles	numeric
Learning and Motivation	0023-9690	apa	author-date
Management Accounting Research	1044-5005	elsevier-harvard	author-date
Manual Therapy	1356-689X	vancouver-author-date	author-date
Metabolic Engineering	1096-7176	elsevier-harvard	author-date
Current Problems in Cardiology	0146-2806	american-medical-association	numeric
Molecular and Cellular Neuroscience	1044-7431	elsevier-harvard	author-date
Molecular and Cellular Probes	0890-8508	elsevier-vancouver	numeric
Disease-a-Month	0011-5029	american-medical-association	numeric
Dental Abstracts	0011-8486	american-medical-association	numeric
The Journal of Evidence-Based Dental Practice	1532-3382	american-medical-association	numeric
Medical Hypotheses	0306-9877	elsevier-vancouver	numeric
Annals of Emergency Medicine	0196-0644	american-medical-association	numeric
Journal of Emergency Nursing	0099-1767	american-medical-association	numeric
Metabolism	0026-0495	elsevier-vancouver	numeric
Molecular Genetics and Metabolism	1096-7192	elsevier-with-titles	numeric
Molecular Genetics and Metabolism Reports	2214-4269	elsevier-with-titles	numeric
Geriatric Nursing	0197-4572	american-medical-association	numeric
Heart & Lung  - The Journal of Acute and Critical Care	0147-9563	american-medical-association	numeric
Midwifery	0266-6138	elsevier-harvard	author-date
Nurse Leader	1541-4612	american-medical-association	numeric
Nursing Outlook	0029-6554	apa	author-date
Microbial Pathogenesis	0882-4010	elsevier-vancouver	numeric
Molecular Phylogenetics and Evolution	1055-7903	elsevier-harvard	author-date
Journal of Pediatric Health Care	0891-5245	apa	author-date
Current Problems in Pediatric and Adolescent Health Care	1538-5442	american-medical-association	numeric
